Anupam Kher
April Grace
April Kent
Arabella Field
Aramis Ney
Arcade Fire
Arcelia Ramírez
Archie Hahn
Archie J. Stout
Archie Stout
Aretha Franklin
Argentina Brunetti
Ari Handel
Ariadna Gil
Ariana Richards
Ariane Labed
Arie Verveen
Ariel Gade
Ariel Galván
Ariel Waller
Arija Bareikis
Arkadiy Strugatskiy
Arlekín
Arlen Dean Snyder
Arlene Francis
Arlene Golonka
Arliss Howard
Arly Jover
Armand Assante
Armand Cerami
Armand Schultz
Armando Silvestre
Armando de Razza
Armin Mueller-Stahl
Arnold Merritt
Arnold Schulman
Arnold Schwarzenegger
Arnold Vosloo
Art Burke
Art Chudabala
Art Malik
Art Smith
Arthur B. Rubinstein
Arthur C. Clarke
Arthur Darvill
Arthur Edeson
Arthur Freed
Arthur Hiller
Arthur Hoyt
Arthur Hunnicutt
Arthur Johnston
Arthur Kennedy
Arthur Laurents
Arthur Malet
Arthur Marcum
Arthur Miller
Arthur O'Connell
Arthur Penn
Arthur Schwartz
Arthur Shields
Arthur Taxier
Arthur Treacher
Arthur Wong
Arturo Bonín
Arturo Soto Rangel
Arturo Valls
Artus de Penguern
Arye Gross
Asa Butterfield
Asakadzu Nakai
Asakazu Nakai
Ash Brannon
Ashely Rowe
Ashley C. Williams
Ashley Greene
Ashley Johnson
Ashley Judd
Ashley Scott
Ashley Tisdale
Ashlyn Sanchez
Ashton Kutcher
Asier Etxeandia
Astrid Bergès-Frisbey
Athina Rachel Tsangari
Ato Essandoh
Atsushi Okui
Aubrey Morris
Audie Murphy
Audrey Christie
Audrey Fleurot
Audrey Hepburn
Audrey Landers
Audrey Tautou
Audrey Wells
August Diehl
August Zirner
Aurelius Battaglia
Aurora Bautista
Aurora Snow
Aurélien Recoing
Austin Pendleton
Avery Brooks
Aviva Baumann
Ayush Mahesh Khedekar
Ayush Tandon
B. J. Novak
BD Wong
BT
Babaloo Mandel
Babu Santana
Bahar Soomekh
Bai Ling
Bailey Drucker
Baker
Bao San
Barbara Bates
Barbara Billingsley
Barbara Davis
Barbara Drew
Barbara Garrick
Barbara Hershey
Barbara Hicks
Barbara Loden
Barbara New
Barbara O'Neil
Barbara Rush
Barbet Schroeder
Barbra Streisand
Barragán
Barret Oliver
Barry Bostwick
Barry Cook
Barry Del Sherman
Barry Dennen
Barry Fitzgerald
Barry Gibb
Barry Humphries
Barry Jones
Barry Levinson
Barry Miller
Barry Morrow
Barry Pearl
Barry Pepper
Barry Peterson
Barry Primus
Barry Rothbart
Barry Shabaka Henley
Barry Sonnenfeld
Barry Sullivan
Barry Winch
Bart Johnson
Barton MacLane
Basil Poledouris
Basil Rathbone
Basil Ruysdael
Basil Wallace
Bates Wilder
Battista Lena
Baz Luhrmann
Beate Jensen
Beatie Edney
Beatrice Rosen
Beatriz Santiago
Bebe Barron
Bebe Neuwirth
Becky Johnson
Bee Duffell
Bee Gees
Bee Vang
Beeban Kidron
Bela Lugosi
Belinda Bauer
Belinda McClory
Belén Ballesteros
Belén Rueda
Ben Affleck
Ben Bode
Ben Chaplin
Ben Cooper
Ben Cross
Ben Davidson
Ben Davis
Ben Derrick
Ben Elton
Ben Foster
Ben Garant
Ben Gazzara
Ben Hecht
Ben Johnson
Ben Kingsley
Ben Loyd-Holmes
Ben Maddow
Ben McKenzie
Ben Mendelsohn
Ben Miles
Ben Murphy
Ben Piazza
Ben Platt
Ben Queen
Ben Ramsey
Ben Richardson
Ben Ridgeway
Ben Ripley
Ben Sharpsteen
Ben Shenkman
Ben Stein
Ben Stiller
Ben Vereen
Ben Watkins
Ben Whishaw
Ben York Jones
Benedict Cumberbatch
Benedict Fitzgerald
Benedict Wong
Benicio Del Toro
Benito Pocino
Benito Stefanelli
Benjamin Bratt
Benjamin Millepied
Benjamin Petry
Benjamin Siksou
Bennett Yellin
Benny Andersson
Benoît Delhomme
Bercelio Moya
Berend McKenzie
Bernadette Peters
Bernard Fox
Bernard Herrmann
Bernard Hill
Bernard Kay
Bernard Miles
Bernard White
Bernard-Pierre Donnadieu
Bernardo Bertolucci
Bernardo Bonezzi
Bernd Schultheis
Bernie Mac
Bert Freed
Bert Glennon
Bert Haines
Bert Kalmar
Bert Lahr
Bert Michaels
Bert Ramson
Berta Ojea
Bertie Carvel
Berto Romero
Berton Churchill
Bess Motta
Beth Grant
Bethel Leslie
Betsy Brantley
Bette Davis
Bette Midler
Betty Buckley
Betty Comden
Betty Garrett
Betty Morrisey
Betty Thomas
Betty White
Beulah Bondi
Beverly D'Angelo
Beverly Dennis
Beverly Wills
Beyoncé Knowles
Bibo Bergeron
Biff Elliot
Bigote Arrocet
Bill Bailey
Bill Bixby
Bill Bryden
Bill Butler
Bill Campbell
Bill Canterbury
Bill Cobbs
Bill Condon
Bill Conti
Bill Duke
Bill Hader
Bill Hodnett
Bill Hunter
Bill Irwin
Bill Kalmenson
Bill Lancaster
Bill Macy
Bill McKinney
Bill Moseley
Bill Mumy
Bill Murray
Bill Nighy
Bill Nunn
Bill Paxton
Bill Peet
Bill Pope
Bill Pullman
Bill Raymond
Bill Roberts
Bill Roe
Bill Walsh
Bill Williams
