eceaa387-a5e2-11e5-8c0e-a45e60eb67c5,6.8,"A scientist turns himself invisible. However, the formula slowly drives him insane, causing him to terrorize the countryside as an invisible killer.","{'Science Fiction'}",NR,1933-11-13,1933,"The Invisible Man",6b234a61-faa6-4b4e-bba1-7c283fb8cae5
ece7a8d4-a5e2-11e5-8d7d-a45e60eb67c5,7.3,"Ellie Andrews has just tied the knot with society aviator King Westley when she is whisked away to her father's yacht and out of King's clutches. Ellie jumps ship and eventually winds up on a bus headed back to her husband. Reluctantly she must accept the help of out-of- work reporter Peter Warne. Actually, Warne doesn't give her any choice: either she sticks with him until he gets her back to her husband, or he'll blow the whistle on Ellie to her father. Either way, Peter gets what he wants... a really juicy newspaper story!","{'Romance'}",NR,1934-02-22,1934,"It Happened One Night",6b234a61-faa6-4b4e-bba1-7c283fb8cae5
ece89442-a5e2-11e5-a6b3-a45e60eb67c5,5.4,"A man and his wife receive a clue to an imminent assassination attempt, only to learn that their daughter has been kidnapped to keep them quiet.","{'Thriller'}",NR,1934-11-30,1934,"The Man Who Knew Too Much",6b234a61-faa6-4b4e-bba1-7c283fb8cae5
ece5f87d-a5e2-11e5-87ef-a45e60eb67c5,7.1,"Bride of Frankenstein begins where James Whale's Frankenstein from 1931 ended. Dr. Frankenstein has not been killed as previously portrayed and now he wants to get away from the mad experiments. Yet when his wife is kidnapped by his creation, Frankenstein agrees to help him create a new monster, this time a woman.","{'Science Fiction'}",NR,1935-04-21,1935,"Bride of Frankenstein",6b234a61-faa6-4b4e-bba1-7c283fb8cae5
ece60268-a5e2-11e5-8d2b-a45e60eb67c5,7.3,"Richard Hannay is a Canadian visitor to London. At the end of \"Mr Memory's\" show in a music hall, he meets Annabella Smith who is running away from secret agents. He accepts her request to hide her in his flat, but in the night she is murdered. Fearing he could be accused of her murder, Hannay goes on the run determined to break the spy ring.","{'Mystery','Thriller'}",NR,1935-06-01,1935,"The 39 Steps",6b234a61-faa6-4b4e-bba1-7c283fb8cae5
ecebcfcf-a5e2-11e5-a901-a45e60eb67c5,5.4,"Fletcher Christian successfully leads a revolt against the ruthless Captain Bligh on the HMS Bounty. However, Bligh returns one year later, hell bent on avenging his captors.","{'Drama','Adventure','History'}",NR,1935-11-08,1935,"Mutiny on the Bounty",6b234a61-faa6-4b4e-bba1-7c283fb8cae5
ecf2fa11-a5e2-11e5-bbc5-a45e60eb67c5,5.3,"High-school principal Dr. Alfred Carroll (Josef Forte) relates to an audience of parents that marijuana can have devastating effects on teens. In his story, a drug supplier entices several restless teens, including sister and brother Mary (Dorothy Short) and Jimmy Lane (Warren McCollum) and Mary's boyfriend, Bill (Kenneth Craig), into frequenting a \"reefer\" house. Gradually, Bill and Jimmy are drawn into smoking dope, which affects their family lives and leads to a terrible crime.","{'Drama'}",PG,1936-01-15,1936,"Reefer Madness",6b234a61-faa6-4b4e-bba1-7c283fb8cae5
ece7a938-a5e2-11e5-b8fd-a45e60eb67c5,7.9,"The Tramp struggles to live in modern industrial society with the help of a young homeless woman.","{'Comedy'}",NR,1936-02-05,1936,"Modern Times",6b234a61-faa6-4b4e-bba1-7c283fb8cae5
ece7c0d1-a5e2-11e5-a112-a45e60eb67c5,6.7,"Late 1960 and the world consists of feudal cities after decades of a global war and plague. 2035 and the world has been rebuilt with fantastic technology, but has progress gone too far and has man learned anything.","{'Science Fiction'}",NR,1936-02-20,1936,"Things to Come",6b234a61-faa6-4b4e-bba1-7c283fb8cae5
ecf47411-a5e2-11e5-b642-a45e60eb67c5,4.9,"Lavish biography of Flo Ziegfeld, the producer who became Broadway's biggest starmaker.","{'Romance','Music'}",NR,1936-04-08,1936,"The Great Ziegfeld",6b234a61-faa6-4b4e-bba1-7c283fb8cae5
